X,Y,cadmium,copper,lead,zinc,elev,ffreq,soil,dist.m
180114,330803,0.2,27,64,192,9.404,2,3,500
179881,330912,0.4,25,84,240,10.52,2,3,650
179774,330921,0.2,30,67,221,8.84,2,3,630
179657,331150,0.2,23,49,140,8.472,2,3,410
179731,331245,0.2,24,48,128,9.634,2,3,390
179717,331441,0.2,21,56,166,9.206,2,2,310
179446,331422,0.2,24,65,191,8.47,2,1,70
179524,331565,0.2,21,84,232,8.463,2,1,70
179644,331730,0.2,23,75,203,9.691,2,1,150
180321,330366,3.7,53,250,722,8.704,2,2,80
180162,331837,0.2,33,81,210,9.42,2,2,450
180029,331720,0.2,22,72,198,9.573,2,2,530
179797,331919,0.2,23,86,139,9.555,2,1,240
179642,331955,0.2,25,94,253,8.779,2,1,70
179849,332142,1.2,30,244,703,8.54,2,1,70
180265,332297,2.4,47,297,832,8.809,2,1,60
180107,332101,0.2,31,96,262,9.523,2,1,190
180462,331947,0.2,20,56,142,9.811,2,2,450
180478,331822,0.2,16,49,119,9.604,2,2,550
180347,331700,0.2,17,50,152,9.732,2,2,650
180862,333116,0.4,26,148,415,9.518,2,1,100
180700,332882,1.6,34,162,474,9.72,2,1,170
180201,331160,0.8,18,37,126,9.036,2,3,860
180173,331923,1.2,23,80,210,9.528,2,2,410
180923,332874,0.2,20,80,220,9.155,3,1,290
180467,331694,0.2,14,49,133,10.08,3,2,680
179917,331325,0.8,46,42,141,9.97,3,2,540
179822,331242,1,29,48,158,10.136,3,2,480
179991,331069,0.8,19,41,129,10.32,3,3,720
179120,330578,1.2,31,73,206,9.041,3,1,380
179034,330561,2,27,146,451,7.86,3,1,310
179085,330433,1.5,29,95,296,8.741,3,1,430
179236,330046,1.1,22,72,189,7.822,3,1,370
179456,330072,0.8,20,51,154,7.78,3,1,290
179550,329940,0.8,20,54,169,8.121,3,1,150
179445,329807,2.1,29,136,403,8.231,3,1,70
179337,329870,2.5,38,170,471,8.351,3,1,220
179245,329714,3.8,39,179,612,7.3,3,1,80
179024,329733,3.2,35,200,601,7.536,3,1,120
178786,329822,3.1,42,258,783,7.706,3,1,120
179135,329890,1.5,24,93,258,8.07,3,1,260
179030,330082,1.2,20,68,214,8.226,3,1,440
179184,330182,0.8,20,49,166,8.128,3,1,540
179085,330292,3.1,39,173,496,8.577,3,1,520
178875,330311,2.1,31,119,342,8.429,3,1,350
179466,330381,0.8,21,51,162,9.406,3,1,460
180627,330190,2.7,27,124,375,8.261,3,3,40
